Date,above_20,above_60,above_120,above_200
2024-07-02,29.1220556745182,37.83494105037513,39.41997851772288,41.68466522678186
2024-07-03,25.69593147751606,34.726688102893895,37.59398496240601,39.63282937365011
2024-07-04,29.657387580299787,37.51339764201501,37.70139634801289,41.252699784017274
2024-07-05,29.1220556745182,35.36977491961415,37.91621911922664,40.8207343412527
2024-07-08,32.54817987152035,38.47802786709539,39.31256713211601,42.44060475161987
2024-07-09,35.11777301927195,39.228295819935695,40.494092373791624,43.08855291576673
2024-07-10,36.29550321199144,40.51446945337621,41.997851772287866,44.49244060475162
2024-07-11,38.86509635974304,40.943193997856376,42.534908700322234,44.600431965442766
2024-07-12,40.68522483940043,41.264737406216504,43.39419978517723,45.415318230852215
2024-07-15,46.895074946466806,43.944265809217576,44.25349087003222,46.709816612729234
2024-07-16,46.680942184154176,43.729903536977496,43.82384532760473,45.9546925566343
2024-07-17,47.109207708779444,43.944265809217576,44.683136412459724,46.38619201725998
2024-07-18,43.46895074946467,42.12218649517685,44.038668098818476,44.66019417475729
2024-07-19,40.471092077087796,38.90675241157556,41.67561761546724,42.82632146709817
2024-07-22,33.40471092077088,35.47695605573419,39.31256713211601,41.53182308522114
2024-07-23,32.54817987152035,35.155412647374064,38.34586466165413,40.99244875943905
2024-07-24,32.22698072805139,34.08360128617363,38.131041890440386,40.88457389428263
2024-07-25,23.66167023554604,27.438370846730976,35.76799140708915,38.295577130528585
2024-07-26,31.65775401069519,31.618435155412648,37.16433941997852,40.19396551724138
2024-07-29,39.57219251336899,35.58413719185423,40.06444683136412,41.918103448275865
2024-07-30,34.11764705882353,32.475884244372985,37.486573576799145,40.40948275862069
2024-07-31,39.67914438502674,35.47695605573419,40.06444683136412,42.133620689655174
2024-08-01,46.20320855614973,38.11563169164882,41.568206229860365,43.85775862068966
2024-08-02,23.74331550802139,26.445396145610278,32.975295381310424,37.93103448275862
2024-08-05,3.4224598930481283,8.029978586723768,12.781954887218044,19.82758620689655
2024-08-06,7.379679144385026,12.312633832976445,18.045112781954884,27.04741379310345
2024-08-07,13.568376068376068,17.66595289079229,22.986036519871107,29.52586206896552
2024-08-08,16.98717948717949,19.914346895074946,24.919441460794843,31.25
